title,latitude,longitude,numberKilled,numberInjured
8/9/2015,39.055055,-94.593128,0,4
8/8/2015,35.192406,-81.239762,2,3
8/8/2015,29.919804,-95.451852,8,0
8/8/2015,35.919394,-89.896684,1,11
8/7/2015,44.215725,-72.556396,4,0
8/6/2015,34.012126,-81.013348,0,4
8/4/2015,38.671953,-90.269071,1,4
8/3/2015,40.675587,-74.009583,0,5
8/2/2015,40.665471,-73.86752,0,9
8/2/2015,39.350075,-76.663841,0,7
8/2/2015,41.905088,-87.746087,1,4
8/2/2015,32.063058,-81.100368,0,5
8/2/2015,41.772075,-87.672537,0,4
8/1/2015,28.532374,-81.307914,0,4
7/30/2015,40.458316,-79.888567,0,4
7/27/2015,42.26373,-89.108957,0,5
7/26/2015,39.107105,-94.520188,2,3
7/26/2015,29.988705,-90.035043,0,4
7/25/2015,37.305847,-77.294072,0,4
7/24/2015,42.110819,-80.068169,2,4
7/23/2015,30.201986,-92.045737,3,9
7/22/2015,34.080225,-84.127212,5,0
7/21/2015,25.941074,-80.243394,1,3
7/20/2015,40.821143,-73.92565,0,6
7/19/2015,36.725726,-76.567743,0,4
7/19/2015,38.243635,-85.802421,0,6
7/19/2015,35.945742,-77.761234,0,4
7/18/2015,32.704332,-117.12394,0,4
7/18/2015,34.400857,-119.080499,0,5
7/18/2015,44.948844,-122.991172,1,4
7/18/2015,30.445698,-91.171015,2,2
7/17/2015,41.884834,-87.735933,0,5
7/17/2015,39.143604,-84.578868,0,4
7/16/2015,35.092728,-85.256448,6,2
7/16/2015,32.778665,-96.856619,0,5
7/15/2015,33.768918,-84.463777,0,5
7/15/2015,39.328481,-76.682431,1,3
7/15/2015,41.537633,-81.60186,0,7
7/15/2015,42.362034,-83.211696,0,4
7/15/2015,33.346705,-80.450021,4,1
7/14/2015,38.722723,-90.236054,0,4
7/13/2015,33.884445,-118.077737,0,4
7/13/2015,37.970902,-121.291368,1,4
7/12/2015,41.881871,-87.814993,2,3
7/12/2015,40.731989,-74.070682,0,4
7/7/2015,39.290137,-76.632362,3,1
7/5/2015,32.48011,-93.780403,0,8
7/5/2015,41.073108,-85.118012,0,9
7/5/2015,40.758553,-74.220458,1,3
7/4/2015,38.249025,-85.793664,0,4
7/4/2015,42.454233,-73.260351,1,4
7/4/2015,43.033376,-76.161245,0,4
7/4/2015,29.472001,-98.525993,0,4
7/4/2015,38.856969,-76.991206,1,3
7/2/2015,39.77469,-86.194877,1,3
6/29/2015,25.896705,-80.247688,0,4
6/28/2015,42.41602,-82.990211,0,5
6/28/2015,38.672273,-90.169832,0,6
6/28/2015,38.920992,-75.574825,0,6
6/27/2015,41.894838,-71.091005,1,3
6/27/2015,42.391433,-82.972797,0,4
6/24/2015,40.810748,-73.937305,0,4
6/22/2015,39.997365,-75.117177,0,7
6/21/2015,40.438191,-79.879556,0,4
6/21/2015,38.068558,-84.502293,1,4
6/20/2015,42.379651,-83.124059,1,11
6/20/2015,34.864044,-80.001172,0,4
6/20/2015,39.969206,-75.205869,0,11
6/19/2015,42.000385,-71.517704,0,4
6/17/2015,32.787499,-79.933117,9,0
6/16/2015,25.936708,-80.210877,0,4
6/15/2015,40.656823,-73.959819,0,4
6/14/2015,36.180871,-95.909625,0,4
6/14/2015,38.647972,-90.196166,0,4
6/14/2015,39.949262,-75.08698,1,3
6/13/2015,33.533061,-84.455116,1,4
6/13/2015,40.013373,-82.966381,4,1
6/13/2015,33.08375,-83.244913,1,3
6/13/2015,40.860726,-73.89951,0,5
6/13/2015,35.395125,-97.50335,0,4
6/12/2015,25.809212,-80.236143,0,4
6/11/2015,41.221168,-73.196371,1,8
6/11/2015,29.72821,-95.357853,1,3
6/10/2015,33.957918,-118.291807,1,3
6/9/2015,38.652044,-90.225629,1,3
6/7/2015,46.377131,-112.714347,5,0
6/6/2015,42.893619,-78.832927,1,4
6/6/2015,41.882337,-87.758816,0,5
6/5/2015,41.522398,-90.585925,0,5
6/5/2015,29.970427,-90.073437,1,3
6/3/2015,40.740308,-73.362569,3,1
5/31/2015,41.436645,-81.811698,3,1
5/31/2015,38.937582,-76.846653,1,3
5/31/2015,41.305957,-72.925091,0,5
5/31/2015,33.564153,-84.015513,3,2
5/30/2015,32.711512,-117.104666,0,4
5/28/2015,41.205304,-96.044122,0,4
5/28/2015,41.781184,-87.670334,0,5
5/28/2015,39.832514,-75.390168,1,3
5/26/2015,30.028931,-89.984586,2,2
5/25/2015,39.860512,-88.954325,1,4
5/24/2015,42.994428,-83.704417,0,7
5/24/2015,42.065583,-71.015993,0,5
5/24/2015,32.333599,-86.35009,1,3
5/24/2015,38.641889,-90.214367,0,4
5/23/2015,36.714165,-119.758559,2,2
5/20/2015,39.282827,-76.575799,1,4
5/18/2015,38.744914,-90.319119,0,4
5/18/2015,25.842854,-80.224298,1,4
5/17/2015,31.499208,-97.148164,9,18
5/16/2015,43.077015,-87.948491,0,5
5/16/2015,43.164277,-77.592867,0,4
5/16/2015,39.309682,-76.595379,0,5
5/12/2015,38.870645,-76.926192,1,4
5/12/2015,32.13057,-110.981921,5,0
5/10/2015,41.45442,-81.764539,1,4
5/10/2015,40.707522,-74.08085,0,4
5/10/2015,40.731361,-74.209927,1,3
5/7/2015,39.149724,-84.561468,0,4
5/4/2015,42.93403,-78.809803,1,3
5/3/2015,41.657792,-86.256018,0,4
5/3/2015,44.204045,-88.474272,4,1
5/3/2015,29.740597,-95.375318,0,6
5/3/2015,40.853308,-73.912587,0,4
5/3/2015,39.738817,-84.240233,1,6
5/1/2015,43.084513,-87.959298,2,3
4/27/2015,40.637762,-73.952557,2,4
4/27/2015,32.949024,-112.707288,2,2
4/25/2015,40.221824,-74.760572,0,4
4/25/2015,43.138386,-77.671713,1,6
4/21/2015,31.124227,-97.73707,2,3
4/19/2015,37.554703,-77.436611,0,4
4/18/2015,41.240375,-77.002559,0,5
4/18/2015,32.357325,-86.335843,0,5
4/18/2015,34.599785,-79.033498,1,3
4/18/2015,35.22567,-80.901052,0,4
4/18/2015,40.920783,-74.159328,1,3
4/16/2015,33.641669,-111.989451,5,0
4/7/2015,34.264042,-85.159497,1,3
4/5/2015,40.441178,-79.980573,1,3
4/5/2015,38.242905,-85.818515,1,4
4/5/2015,39.858816,-86.24576,0,5
4/5/2015,42.115587,-86.43362,0,4
4/3/2015,29.231345,-81.062142,0,4
4/2/2015,39.297752,-76.647594,0,5
3/27/2015,30.143422,-85.755009,0,7
3/26/2015,35.244636,-101.823812,0,4
3/24/2015,39.811019,-86.18711,4,0
3/23/2015,36.536707,-87.348789,1,4
3/22/2015,35.087323,-106.534891,1,6
3/21/2015,27.960427,-82.439045,0,4
3/20/2015,32.611626,-96.78885,1,5
3/18/2015,40.714522,-74.213222,1,3
3/18/2015,33.415309,-111.863311,1,5
3/17/2015,37.959899,-121.295537,3,4
3/15/2015,33.886274,-118.25708,0,4
3/14/2015,33.75496,-84.481962,0,5
3/14/2015,33.674557,-116.188002,0,4
3/13/2015,31.559121,-90.445443,2,3
3/10/2015,32.437645,-84.959654,0,5
3/9/2015,41.703472,-87.628221,1,3
3/8/2015,34.663614,-82.927621,1,3
3/4/2015,34.060485,-117.285206,2,5
3/1/2015,28.452042,-81.444125,0,4
3/1/2015,42.411746,-82.968995,1,5
2/28/2015,39.343453,-76.587968,1,3
2/26/2015,37.200416,-91.870876,8,1
2/25/2015,29.659865,-95.355556,3,3
2/22/2015,31.120486,-97.682994,4,1
2/22/2015,34.630979,-83.597945,3,2
2/22/2015,32.854165,-80.005438,0,4
2/20/2015,38.570057,-121.490854,0,4
2/17/2015,34.677421,-92.320346,1,3
2/15/2015,33.783695,-118.193746,0,5
2/9/2015,28.296372,-82.617077,3,1
2/8/2015,35.847118,-89.234846,0,6
2/7/2015,33.71408,-84.668944,5,2
2/6/2015,36.172074,-95.904218,1,4
2/5/2015,41.449674,-81.496066,3,3
2/1/2015,43.046976,-76.176557,0,6
2/1/2015,40.820461,-73.955177,1,4
1/31/2015,32.97855,-85.143715,4,0
1/28/2015,33.745584,-84.165504,1,3
1/26/2015,37.930695,-121.265405,1,3
1/24/2015,40.655746,-73.750763,4,1
1/24/2015,41.27671,-95.96322,3,5
1/23/2015,42.324393,-71.101009,0,6
1/20/2015,36.613552,-87.419057,1,3
1/19/2015,29.421422,-98.460815,2,5
1/16/2015,37.733299,-122.178334,2,2
1/13/2015,36.824385,-76.409458,0,5
1/13/2015,42.282884,-89.114866,2,2
1/11/2015,34.933859,-78.866439,2,5
1/11/2015,28.139278,-81.981467,1,3
1/11/2015,37.282712,-121.839003,0,5
1/10/2015,37.664333,-97.27862,2,2
1/9/2015,37.773681,-122.425726,4,0
1/8/2015,42.316666,-71.088702,1,3
1/7/2015,35.040366,-85.318614,1,3
1/6/2015,25.831511,-80.218799,1,3
1/4/2015,37.281003,-79.998492,2,4
1/4/2015,32.679873,-96.611053,3,1
1/2/2015,32.041528,-81.094456,1,4
1/1/2015,35.113678,-89.898294,0,5
